id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_59_overview","Overview → PlanningOverviewVO","Overview → PlanningOverviewVO","intra_community",3,"['comm_0']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.overview#0","Class:backend/src/main/java/com/freqmanage/module/planning/vo/PlanningOverviewVO.java:PlanningOverviewVO"
"proc_60_create","Create → RsbtStation","Create → RsbtStation","intra_community",3,"['comm_14']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.create#1","Class:backend/src/main/java/com/freqmanage/module/station/entity/RsbtStation.java:RsbtStation"
"proc_61_create","Create → CopyProperties","Create → CopyProperties","intra_community",3,"['comm_14']","Method:backend/src/main/java/com/freqmanage/module/station/controller/StationController.java:StationController.create#1","Method:backend/src/main/java/com/freqmanage/module/station/service/StationService.java:StationService.copyProperties#2"
"proc_62_overview","Overview → DashboardOverviewVO","Overview → DashboardOverviewVO","intra_community",3,"['comm_16']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.overview#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/DashboardOverviewVO.java:DashboardOverviewVO"
"proc_63_overview","Overview → CalcGrowthRate","Overview → CalcGrowthRate","intra_community",3,"['comm_16']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.overview#0","Method:backend/src/main/java/com/freqmanage/module/statistics/service/DashboardService.java:DashboardService.calcGrowthRate#2"
"proc_64_overview","Overview → CountThisMonthStations","Overview → CountThisMonthStations","intra_community",3,"['comm_16']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.overview#0","Method:backend/src/main/java/com/freqmanage/module/statistics/service/DashboardService.java:DashboardService.countThisMonthStations#1"
"proc_65_overview","Overview → CountLastMonthStations","Overview → CountLastMonthStations","intra_community",3,"['comm_16']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/DashboardController.java:DashboardController.overview#0","Method:backend/src/main/java/com/freqmanage/module/statistics/service/DashboardService.java:DashboardService.countLastMonthStations#1"
"proc_66_stationregion","StationRegion → ProvinceStationVO","StationRegion → ProvinceStationVO","intra_community",3,"['comm_18']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.stationRegion#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/ProvinceStationVO.java:ProvinceStationVO"
"proc_67_stationgrowth","StationGrowth → StationGrowthVO","StationGrowth → StationGrowthVO","intra_community",3,"['comm_19']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.stationGrowth#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/StationGrowthVO.java:StationGrowthVO"
"proc_68_permitusagegrowth","PermitUsageGrowth → PermitUsageGrowthVO","PermitUsageGrowth → PermitUsageGrowthVO","intra_community",3,"['comm_0']","Method:backend/src/main/java/com/freqmanage/module/statistics/controller/StatisticsController.java:StatisticsController.permitUsageGrowth#0","Class:backend/src/main/java/com/freqmanage/module/statistics/vo/PermitUsageGrowthVO.java:PermitUsageGrowthVO"
